index,label
1003.png,0
1024.png,0
1045.png,1
1046.png,0
1080.png,1
1154.png,1
1172.png,0
1265.png,0
1314.png,1
1317.png,0
1342.png,0
1364.png,0
1377.png,1
1398.png,1
1452.png,0
1477.png,1
1482.png,1
1506.png,1
1541.png,0
1555.png,0
1594.png,0
1619.png,1
1620.png,0
1644.png,1
1648.png,0
1649.png,0
1676.png,0
1678.png,0
1689.png,1
1693.png,0
1695.png,1
1710.png,1
1724.png,1
1725.png,0
1763.png,1
1863.png,0
1886.png,0
1900.png,0
1925.png,1
1995.png,0
2050.png,1
2072.png,1
2088.png,1
2129.png,0
2182.png,1
2236.png,1
2294.png,0
2295.png,0
2310.png,1
2353.png,0
2362.png,0
2364.png,0
2375.png,1
2376.png,0
2383.png,0
2423.png,0
2450.png,0
2517.png,1
2594.png,0
2608.png,0
2619.png,1
2637.png,0
2648.png,0
2661.png,0
2695.png,0
2732.png,0
2749.png,0
2751.png,1
2764.png,1
2772.png,0
2777.png,0
2855.png,0
2864.png,1
2882.png,0
2903.png,0
2905.png,1
2906.png,1
2955.png,1
2971.png,1
2996.png,1
2998.png,0
3004.png,0
3027.png,0
3032.png,1
3129.png,0
3136.png,1
3146.png,0
3157.png,0
3159.png,1
3170.png,0
3178.png,1
3179.png,1
3183.png,1
3194.png,1
3221.png,1
3230.png,1
3241.png,1
3256.png,0
3273.png,0
3278.png,0
3290.png,0
3296.png,0
3299.png,1
3313.png,0
3315.png,1
3322.png,1
3333.png,0
3334.png,1
3336.png,1
3353.png,1
3368.png,0
3385.png,1
3442.png,0
3456.png,1
3468.png,1
3488.png,1
3490.png,0
3495.png,1
3506.png,0
3525.png,0
3540.png,1
3543.png,0
3545.png,1
3551.png,1
3553.png,0
3560.png,0
3594.png,1
3598.png,0
3607.png,1
3637.png,0
3661.png,0
3677.png,0
3679.png,1
3717.png,1
3732.png,0
3744.png,0
3763.png,0
3804.png,0
3833.png,1
3835.png,1
3837.png,0
3848.png,1
3868.png,1
3882.png,0
3916.png,0
3964.png,1
3968.png,1
3970.png,1
3973.png,0
3975.png,1
3996.png,0
4011.png,0
4018.png,0
4055.png,1
4065.png,1
4067.png,0
4073.png,0
4079.png,1
4082.png,0
4101.png,1
4104.png,0
4108.png,0
4122.png,1
4147.png,0
4165.png,1
4167.png,0
4184.png,0
4192.png,1
4209.png,0
4215.png,1
4222.png,0
4238.png,1
4254.png,1
4286.png,1
4308.png,0
4348.png,1
4357.png,1
4364.png,1
4367.png,1
4375.png,1
4385.png,1
4393.png,1
4421.png,1
4432.png,0
4443.png,0
4448.png,0
4450.png,1
4505.png,1
4506.png,0
4512.png,0
4533.png,1
4542.png,1
4545.png,1
4547.png,1
4550.png,1
4567.png,1
4569.png,0
4576.png,0
4581.png,0
4600.png,1
4635.png,0
4648.png,1
4658.png,1
4671.png,0
4698.png,0
4763.png,1
4790.png,0
