index,label
20073.png,0.0
20098.png,1.0
20132.png,2.0
20145.png,2.0
20199.png,0.0
20272.png,0.0
20286.png,0.0
20327.png,2.0
20360.png,0.0
20365.png,2.0
20468.png,2.0
20471.png,0.0
20483.png,1.0
20556.png,2.0
20584.png,2.0
20598.png,2.0
20713.png,2.0
20753.png,3.0
20827.png,0.0
20847.png,2.0
20911.png,2.0
20913.png,2.0
20920.png,1.0
21006.png,3.0
21032.png,2.0
21052.png,0.0
21138.png,0.0
21177.png,2.0
21203.png,2.0
21305.png,1.0
21327.png,0.0
21352.png,2.0
21390.png,0.0
21401.png,2.0
21447.png,2.0
21459.png,0.0
21470.png,2.0
21478.png,2.0
21498.png,0.0
21510.png,1.0
21514.png,1.0
21681.png,2.0
21784.png,1.0
21843.png,2.0
21853.png,2.0
21893.png,0.0
21910.png,2.0
21943.png,1.0
21976.png,3.0
21986.png,2.0
22025.png,2.0
22230.png,0.0
22246.png,3.0
22277.png,2.0
22321.png,2.0
22337.png,2.0
22418.png,0.0
22423.png,3.0
22568.png,0.0
22648.png,1.0
22660.png,0.0
22713.png,1.0
22731.png,0.0
22742.png,2.0
22857.png,3.0
22901.png,2.0
22915.png,3.0
22984.png,2.0
23040.png,2.0
23097.png,2.0
23104.png,0.0
23142.png,0.0
23176.png,2.0
23273.png,3.0
23318.png,2.0
23481.png,0.0
23484.png,3.0
23579.png,0.0
23666.png,2.0
23762.png,0.0
23811.png,0.0
23819.png,2.0
23905.png,2.0
23942.png,0.0
23953.png,0.0
23979.png,0.0
24002.png,2.0
24008.png,1.0
24039.png,2.0
24057.png,0.0
24093.png,2.0
24095.png,3.0
24292.png,2.0
24299.png,3.0
24300.png,3.0
24302.png,1.0
24369.png,2.0
24449.png,0.0
24460.png,0.0
24475.png,2.0
24523.png,0.0
24534.png,2.0
24573.png,0.0
24618.png,2.0
24669.png,3.0
24703.png,0.0
24756.png,2.0
24822.png,2.0
24855.png,2.0
24863.png,2.0
24940.png,3.0
25008.png,2.0
25028.png,0.0
25086.png,2.0
25087.png,3.0
25095.png,2.0
25141.png,1.0
25215.png,0.0
25246.png,2.0
25255.png,2.0
25256.png,2.0
25334.png,0.0
25358.png,0.0
25363.png,0.0
25470.png,0.0
25517.png,3.0
25573.png,0.0
25656.png,3.0
25665.png,2.0
25672.png,2.0
25674.png,0.0
25730.png,0.0
25745.png,3.0
25803.png,1.0
25807.png,2.0
25830.png,2.0
25841.png,2.0
25856.png,1.0
25865.png,3.0
25914.png,0.0
26021.png,1.0
26064.png,0.0
26069.png,3.0
26070.png,2.0
26096.png,1.0
26119.png,2.0
26125.png,0.0
26199.png,0.0
26226.png,2.0
26240.png,3.0
26241.png,2.0
26325.png,1.0
26332.png,3.0
26344.png,3.0
26369.png,2.0
26382.png,0.0
26402.png,2.0
26417.png,2.0
26469.png,0.0
26495.png,1.0
26500.png,2.0
26623.png,0.0
26761.png,0.0
26774.png,0.0
26789.png,3.0
26925.png,0.0
26954.png,0.0
26964.png,2.0
26973.png,2.0
26977.png,2.0
26995.png,2.0
27008.png,1.0
27047.png,2.0
27065.png,2.0
27073.png,0.0
27135.png,1.0
27187.png,0.0
27213.png,0.0
27261.png,2.0
27269.png,2.0
27324.png,2.0
27405.png,0.0
27424.png,2.0
27499.png,0.0
27524.png,1.0
27550.png,2.0
27569.png,2.0
27686.png,2.0
27750.png,3.0
27773.png,0.0
27783.png,2.0
27816.png,0.0
27854.png,0.0
27896.png,2.0
27899.png,0.0
27921.png,2.0
27935.png,0.0
27938.png,0.0
27986.png,2.0
28026.png,2.0
28051.png,3.0
28092.png,2.0
28186.png,2.0
28224.png,1.0
28226.png,2.0
28250.png,2.0
28281.png,0.0
28294.png,1.0
28446.png,2.0
28461.png,0.0
28485.png,0.0
28490.png,2.0
28602.png,0.0
28661.png,0.0
28670.png,0.0
28742.png,2.0
28781.png,2.0
28786.png,2.0
28867.png,2.0
28907.png,2.0
28932.png,0.0
28953.png,2.0
28973.png,0.0
28994.png,2.0
29027.png,2.0
29040.png,2.0
29084.png,2.0
29104.png,3.0
29137.png,2.0
29196.png,3.0
29204.png,0.0
29258.png,2.0
29309.png,2.0
29323.png,2.0
29347.png,2.0
29378.png,0.0
29414.png,0.0
29438.png,3.0
29467.png,0.0
29615.png,2.0
29616.png,2.0
29627.png,3.0
29701.png,2.0
29745.png,1.0
29816.png,2.0
29870.png,2.0
29892.png,2.0
29911.png,2.0
