index,label
40010.png,0
40030.png,1
40052.png,1
40066.png,0
40086.png,2
40100.png,2
40164.png,2
40190.png,2
40219.png,1
40237.png,2
40252.png,0
40254.png,0
40255.png,0
40265.png,1
40320.png,2
40329.png,2
40334.png,0
40336.png,0
40347.png,1
40389.png,1
40392.png,2
40396.png,0
40419.png,2
40430.png,0
40457.png,1
40486.png,2
40547.png,1
40557.png,1
40558.png,2
40615.png,2
40636.png,2
40676.png,1
40692.png,0
40702.png,2
40716.png,2
40748.png,0
40760.png,1
40767.png,2
40778.png,0
40783.png,1
40790.png,1
40885.png,1
40900.png,2
40906.png,1
40985.png,2
41027.png,0
41030.png,1
41054.png,0
41067.png,1
41099.png,1
41110.png,2
41135.png,1
41173.png,2
41187.png,0
41192.png,1
41211.png,2
41224.png,1
41256.png,2
41284.png,2
41296.png,1
41319.png,1
41357.png,2
41362.png,2
41381.png,2
41384.png,2
41393.png,2
41446.png,0
41476.png,1
41479.png,1
41482.png,2
41505.png,2
41510.png,1
41529.png,2
41545.png,1
41566.png,0
41604.png,2
41628.png,1
41678.png,1
41680.png,2
41739.png,2
41741.png,0
41756.png,0
41778.png,1
41829.png,2
41843.png,1
41882.png,2
41911.png,2
41926.png,0
41949.png,1
41955.png,0
41994.png,1
42008.png,2
42017.png,2
42037.png,0
42052.png,2
42105.png,2
42121.png,0
42145.png,0
42150.png,0
42153.png,2
42164.png,1
42168.png,2
42209.png,0
42237.png,2
42240.png,0
42250.png,0
42252.png,0
42271.png,2
42275.png,2
42340.png,1
42343.png,2
42353.png,1
42369.png,1
42371.png,1
42373.png,0
42391.png,0
42405.png,2
42421.png,2
42425.png,1
42539.png,1
42552.png,0
42571.png,2
42603.png,1
42617.png,0
42629.png,2
42640.png,2
42663.png,2
42679.png,2
42726.png,1
42752.png,0
42773.png,0
42817.png,0
42837.png,0
42904.png,0
42919.png,0
42935.png,1
42944.png,1
42959.png,2
42981.png,0
42986.png,1
43041.png,0
43043.png,1
43063.png,1
43077.png,1
43092.png,2
43093.png,0
43105.png,1
43153.png,0
43164.png,0
43168.png,0
43177.png,1
43198.png,0
43214.png,0
43249.png,2
43266.png,1
43271.png,2
43309.png,1
43323.png,2
43353.png,1
43409.png,2
43436.png,2
43440.png,2
43465.png,2
43481.png,0
43484.png,2
43492.png,1
43493.png,2
43500.png,1
43520.png,1
43565.png,2
43611.png,2
43615.png,0
43705.png,1
43732.png,1
43735.png,1
43775.png,2
43824.png,1
43835.png,1
43905.png,0
43953.png,1
43978.png,1
43981.png,0
43989.png,1
43991.png,1
44033.png,0
44035.png,2
44057.png,2
44081.png,1
44084.png,0
44101.png,0
44157.png,1
44169.png,2
44208.png,0
44209.png,1
44256.png,2
44268.png,1
44327.png,1
44415.png,1
44424.png,0
44443.png,2
44444.png,0
44453.png,1
44463.png,1
44478.png,1
44487.png,2
44532.png,0
44536.png,1
44540.png,2
44543.png,0
44567.png,0
44576.png,2
44689.png,1
44700.png,2
44724.png,2
44782.png,0
44801.png,1
44819.png,1
44847.png,0
44871.png,1
44911.png,1
44918.png,0
44952.png,2
44972.png,1
44974.png,1
45002.png,1
45018.png,1
45019.png,1
45060.png,1
45062.png,1
45083.png,2
45086.png,1
45088.png,1
45141.png,1
45150.png,0
45173.png,0
45224.png,0
45233.png,2
45236.png,2
45266.png,2
45267.png,1
45344.png,2
45353.png,2
45364.png,1
45373.png,0
45386.png,1
45387.png,1
45396.png,0
45403.png,0
45414.png,2
45417.png,0
45428.png,1
45438.png,1
45439.png,0
45485.png,2
45487.png,1
45490.png,2
45536.png,2
45547.png,1
45562.png,2
45567.png,2
45568.png,0
45592.png,1
45611.png,2
45672.png,0
45691.png,1
45695.png,1
45708.png,2
45736.png,1
45754.png,1
45762.png,2
45845.png,0
45851.png,0
45886.png,1
45906.png,1
45915.png,2
45919.png,1
45957.png,0
45967.png,0
46046.png,0
46065.png,2
46099.png,1
46107.png,1
46110.png,0
46119.png,2
46121.png,0
46144.png,2
46191.png,2
46194.png,0
46210.png,2
46211.png,0
